,Nitrification,Denitrification,Methanogenesis,SulfurReduction
OTU99,yes,no,no,yes
OTU100,yes,yes,no,no
OTU101,yes,yes,no,no
OTU102,no,no,no,yes
OTU103,no,no,no,no
OTU104,no,no,no,yes
OTU105,no,no,no,yes
OTU106,yes,no,yes,no
OTU107,no,no,no,no
OTU108,no,no,no,no
OTU109,yes,no,no,yes
OTU110,yes,yes,no,no
OTU111,yes,no,no,no
OTU112,yes,yes,no,no
OTU113,no,yes,no,no
OTU114,no,no,no,no
OTU115,no,no,yes,no
OTU116,no,no,yes,no
OTU117,no,no,no,no
OTU118,yes,yes,no,no
OTU119,no,yes,no,yes
OTU120,no,yes,yes,no
OTU121,no,no,no,no
OTU122,no,no,no,yes
OTU123,no,no,no,yes
OTU124,yes,yes,no,no
OTU125,yes,no,no,no
OTU126,no,no,no,no
OTU127,no,no,no,yes
OTU128,no,no,yes,no
OTU129,yes,no,yes,yes
OTU130,no,yes,no,yes
OTU131,no,no,no,yes
OTU132,yes,no,no,no
OTU133,yes,yes,no,no
OTU134,no,yes,no,no
OTU135,no,yes,no,no
OTU136,no,yes,no,no
OTU137,no,no,no,no
OTU138,no,no,yes,no
OTU139,no,no,no,no
OTU140,no,yes,yes,no
OTU141,no,no,no,no
OTU142,yes,no,no,no
OTU143,no,yes,yes,no
OTU144,no,no,no,no
OTU145,yes,no,no,yes
OTU146,yes,no,no,no
OTU147,no,no,yes,no
OTU148,no,yes,no,no
OTU149,yes,no,no,no
OTU150,yes,no,no,no
OTU151,no,no,no,yes
OTU152,yes,no,no,no
OTU153,yes,no,no,no
OTU154,no,yes,no,no
OTU155,no,yes,no,yes
OTU156,yes,no,no,no
OTU157,no,yes,yes,no
OTU158,no,no,yes,no
OTU159,yes,no,no,no
OTU160,no,no,no,no
OTU161,no,no,no,yes
OTU162,no,no,yes,no
OTU163,no,no,yes,yes
OTU164,no,no,yes,no
OTU165,yes,no,no,yes
OTU166,no,no,no,no
OTU167,no,no,no,no
OTU168,yes,no,no,no
OTU169,yes,yes,no,no
OTU170,no,yes,no,no
OTU171,no,yes,no,yes
OTU172,yes,yes,no,no
OTU173,no,yes,no,yes
OTU174,yes,no,no,no
OTU175,no,yes,no,no
OTU176,yes,no,no,yes
OTU177,no,no,yes,yes
OTU178,no,yes,no,no
OTU179,no,no,no,no
OTU180,yes,yes,yes,no
OTU181,no,yes,no,no
OTU182,yes,no,no,no
OTU183,no,no,no,yes
OTU184,no,no,no,no
OTU185,yes,no,no,yes
OTU186,no,no,yes,no
OTU187,no,yes,yes,no
OTU188,no,yes,yes,no
OTU189,no,no,yes,no
OTU190,yes,no,yes,no
OTU191,yes,no,yes,yes
OTU192,no,no,no,no
OTU193,no,no,yes,no
OTU194,no,no,no,no
OTU195,no,no,no,yes
OTU196,no,no,no,no
OTU197,no,no,no,no
OTU198,no,no,yes,no
OTU199,no,no,yes,no
OTU200,no,no,yes,no
